2020-07-16 15:15:59 status unpacked libxcb-dri3-0:amd64 1.13.1-2
2020-07-16 15:15:59 install libxcb-present0:amd64 <none> 1.13.1-2
2020-07-16 15:15:59 status half-installed libxcb-present0:amd64 1.13.1-2
2020-07-16 15:15:59 status unpacked libxcb-present0:amd64 1.13.1-2
2020-07-16 15:15:59 install libxcb-sync1:amd64 <none> 1.13.1-2
2020-07-16 15:15:59 status half-installed libxcb-sync1:amd64 1.13.1-2
2020-07-16 15:15:59 status unpacked libxcb-sync1:amd64 1.13.1-2
2020-07-16 15:15:59 install libxcb-xfixes0:amd64 <none> 1.13.1-2
2020-07-16 15:15:59 status half-installed libxcb-xfixes0:amd64 1.13.1-2
2020-07-16 15:16:00 status unpacked libxcb-xfixes0:amd64 1.13.1-2
2020-07-16 15:16:00 install libxshmfence1:amd64 <none> 1.3-1
2020-07-16 15:16:00 status half-installed libxshmfence1:amd64 1.3-1
2020-07-16 15:16:00 status unpacked libxshmfence1:amd64 1.3-1
2020-07-16 15:16:00 install libegl-mesa0:amd64 <none> 18.3.6-2+deb10u1
2020-07-16 15:16:00 status half-installed libegl-mesa0:amd64 18.3.6-2+deb10u1
2020-07-16 15:16:00 status unpacked libegl-mesa0:amd64 18.3.6-2+deb10u1
2020-07-16 15:16:00 install libegl1:amd64 <none> 1.1.0-1
2020-07-16 15:16:00 status half-installed libegl1:amd64 1.1.0-1
2020-07-16 15:16:00 status unpacked libegl1:amd64 1.1.0-1
2020-07-16 15:16:00 install libx11-data:all <none> 2:1.6.7-1
2020-07-16 15:16:00 status half-installed libx11-data:all 2:1.6.7-1
2020-07-16 15:16:00 status unpacked libx11-data:all 2:1.6.7-1
2020-07-16 15:16:00 install libx11-6:amd64 <none> 2:1.6.7-1
2020-07-16 15:16:00 status half-installed libx11-6:amd64 2:1.6.7-1
2020-07-16 15:16:00 status unpacked libx11-6:amd64 2:1.6.7-1
2020-07-16 15:16:00 install libxext6:amd64 <none> 2:1.3.3-1+b2
2020-07-16 15:16:00 status half-installed libxext6:amd64 2:1.3.3-1+b2
2020-07-16 15:16:00 status unpacked libxext6:amd64 2:1.3.3-1+b2
2020-07-16 15:16:00 install libxcb-glx0:amd64 <none> 1.13.1-2
2020-07-16 15:16:00 status half-installed libxcb-glx0:amd64 1.13.1-2
2020-07-16 15:16:00 status unpacked libxcb-glx0:amd64 1.13.1-2
2020-07-16 15:16:00 install libxfixes3:amd64 <none> 1:5.0.3-1
2020-07-16 15:16:00 status half-installed libxfixes3:amd64 1:5.0.3-1
2020-07-16 15:16:00 status unpacked libxfixes3:amd64 1:5.0.3-1
2020-07-16 15:16:00 install libxdamage1:amd64 <none> 1:1.1.4-3+b3
2020-07-16 15:16:00 status half-installed libxdamage1:amd64 1:1.1.4-3+b3
2020-07-16 15:16:00 status unpacked libxdamage1:amd64 1:1.1.4-3+b3
2020-07-16 15:16:00 install libxxf86vm1:amd64 <none> 1:1.1.4-1+b2
2020-07-16 15:16:00 status half-installed libxxf86vm1:amd64 1:1.1.4-1+b2
2020-07-16 15:16:00 status unpacked libxxf86vm1:amd64 1:1.1.4-1+b2
2020-07-16 15:16:00 install libdrm-amdgpu1:amd64 <none> 2.4.97-1
2020-07-16 15:16:00 status half-installed libdrm-amdgpu1:amd64 2.4.97-1
2020-07-16 15:16:00 status unpacked libdrm-amdgpu1:amd64 2.4.97-1
2020-07-16 15:16:00 install libpciaccess0:amd64 <none> 0.14-1
2020-07-16 15:16:00 status half-installed libpciaccess0:amd64 0.14-1
2020-07-16 15:16:00 status unpacked libpciaccess0:amd64 0.14-1
2020-07-16 15:16:00 install libdrm-intel1:amd64 <none> 2.4.97-1
2020-07-16 15:16:00 status half-installed libdrm-intel1:amd64 2.4.97-1
2020-07-16 15:16:00 status unpacked libdrm-intel1:amd64 2.4.97-1
2020-07-16 15:16:00 install libdrm-nouveau2:amd64 <none> 2.4.97-1
2020-07-16 15:16:00 status half-installed libdrm-nouveau2:amd64 2.4.97-1
2020-07-16 15:16:00 status unpacked libdrm-nouveau2:amd64 2.4.97-1
2020-07-16 15:16:00 install libdrm-radeon1:amd64 <none> 2.4.97-1
2020-07-16 15:16:00 status half-installed libdrm-radeon1:amd64 2.4.97-1
2020-07-16 15:16:00 status unpacked libdrm-radeon1:amd64 2.4.97-1
2020-07-16 15:16:00 install libelf1:amd64 <none> 0.176-1.1
2020-07-16 15:16:00 status half-installed libelf1:amd64 0.176-1.1
2020-07-16 15:16:00 status unpacked libelf1:amd64 0.176-1.1
2020-07-16 15:16:00 install libedit2:amd64 <none> 3.1-20181209-1
2020-07-16 15:16:00 status half-installed libedit2:amd64 3.1-20181209-1
2020-07-16 15:16:01 status unpacked libedit2:amd64 3.1-20181209-1
2020-07-16 15:16:01 install libllvm7:amd64 <none> 1:7.0.1-8
2020-07-16 15:16:01 status half-installed libllvm7:amd64 1:7.0.1-8
2020-07-16 15:16:02 status unpacked libllvm7:amd64 1:7.0.1-8
2020-07-16 15:16:02 install libsensors-config:all <none> 1:3.5.0-3
2020-07-16 15:16:02 status half-installed libsensors-config:all 1:3.5.0-3
2020-07-16 15:16:02 status unpacked libsensors-config:all 1:3.5.0-3
2020-07-16 15:16:02 install libsensors5:amd64 <none> 1:3.5.0-3
2020-07-16 15:16:02 status half-installed libsensors5:amd64 1:3.5.0-3
2020-07-16 15:16:02 status unpacked libsensors5:amd64 1:3.5.0-3
2020-07-16 15:16:02 install libgl1-mesa-dri:amd64 <none> 18.3.6-2+deb10u1
2020-07-16 15:16:02 status half-installed libgl1-mesa-dri:amd64 18.3.6-2+deb10u1
2020-07-16 15:16:03 status unpacked libgl1-mesa-dri:amd64 18.3.6-2+deb10u1
2020-07-16 15:16:03 install libglx-mesa0:amd64 <none> 18.3.6-2+deb10u1
2020-07-16 15:16:03 status half-installed libglx-mesa0:amd64 18.3.6-2+deb10u1
2020-07-16 15:16:03 status unpacked libglx-mesa0:amd64 18.3.6-2+deb10u1
2020-07-16 15:16:03 install libglx0:amd64 <none> 1.1.0-1
2020-07-16 15:16:03 status half-installed libglx0:amd64 1.1.0-1
2020-07-16 15:16:03 status unpacked libglx0:amd64 1.1.0-1
